system:index,area_km2,class,territory,year,.geo
22_4_0,2356.352233502418,1,1505486.0,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_5_0,1021.3097444954689,1,1505650.0,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_6_0,1920.9455313803592,1,1505908.0,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_7_0,394.0661196037739,1,1507805.0,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_8_0,1542.2868100672933,1,1508159.0,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_9_0,1019.4908537253431,1,1508357.0,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0_0,5107.941186234253,1,1500602.0,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_1_0,1021.5632611513012,1,1500859.0,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_2_0,1345.6110219687712,1,1501725.0,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_3_0,793.1386690148921,1,1504455.0,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_4_0,2389.631588319004,1,1505486.0,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_5_0,1087.1521203700952,1,1505650.0,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_6_0,1952.468408180355,1,1505908.0,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_7_0,398.7458082274368,1,1507805.0,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_8_0,1619.8170913898143,1,1508159.0,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_9_0,1022.4655237790329,1,1508357.0,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0_0,5315.385500223112,1,1500602.0,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_1_0,1128.6027492713033,1,1500859.0,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_2_0,1408.9098601836529,1,1501725.0,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_3_0,838.1843282316183,1,1504455.0,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_4_0,2636.5955107933137,1,1505486.0,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_5_0,1147.3187942692007,1,1505650.0,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_6_0,1992.5424735260815,1,1505908.0,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_7_0,425.51318403718534,1,1507805.0,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_8_0,1676.2997415237587,1,1508159.0,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_9_0,1038.645750896087,1,1508357.0,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0_0,5952.926824583424,1,1500602.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_1_0,1140.3914241444138,1,1500859.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_2_0,1448.0829622661454,1,1501725.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_3_0,860.329390542175,1,1504455.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_4_0,2663.0192108063884,1,1505486.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_5_0,1172.7916661887732,1,1505650.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_6_0,2015.2901606534142,1,1505908.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_7_0,429.63687914460286,1,1507805.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_8_0,1705.1434222041814,1,1508159.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_9_0,1044.8131612465354,1,1508357.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0_0,6193.181445843934,1,1500602.0,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_1_0,1148.9989617523215,1,1500859.0,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_2_0,1473.539916199505,1,1501725.0,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_3_0,885.5055584173635,1,1504455.0,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
